fdc_id,name,category,data_type,kcal,protein_g,carb_g,fat_g,fiber_g
11800020,Special k cereal oats & honey,Turkish Branded,off_turkey,357.1,7.1,85.7,2.4,
12256300,Smooth Organic Peanut Butter Unsalted,Turkish Branded,off_turkey,610.0,22.8,14.8,49.1,8.6
12900005,Sprite,Turkish Branded,off_turkey,9.2,0.0,,0.0,
15046200,Swedish Fish and Friends Chewy Candy,Turkish Branded,off_turkey,366.7,0.0,90.0,0.0,0.0
15622300,TOBLERONE,Turkish Branded,off_turkey,535.0,5.6,60.5,29.5,2.2
68114387,Parçacıklı Yer Fıstığı Ezmesi,Turkish Branded,off_turkey,554.0,29.0,33.0,34.3,6.2
70825051,The Super Greens Veggie Burger,Turkish Branded,off_turkey,154.9,9.9,9.9,8.5,2.8
77545712,Yer Fıstığı Ezmesi (Parçacıklı),Turkish Branded,off_turkey,612.0,26.6,16.6,47.5,6.0
77705814,Dolmas,Turkish Branded,off_turkey,158.0,2.4,19.0,7.5,3.1
89015548,Dubai chocolate bars,Turkish Branded,off_turkey,500.0,6.7,50.0,40.0,3.3
19103107,Noutos Fırınlanmış Nohut Cipsi (Chili),Turkish Branded,off_turkey,459.0,16.0,49.0,20.0,7.8
158014480,Meyvelim greyfurt suyu,Turkish Branded,off_turkey,43.0,0.0,11.0,0.0,
158014480,ULUDAĞ LİMONATA 1L,Turkish Branded,off_turkey,53.0,0.0,13.0,0.0,
158014480,Uludağ furutti extra armutlu,Turkish Branded,off_turkey,43.0,0.0,11.0,0.0,
24920958,Quark,Turkish Branded,off_turkey,90.0,8.0,12.5,1.2,
208000002,Canga,Turkish Branded,off_turkey,534.4,10.3,54.9,30.4,
208000011,dried apricot,Turkish Branded,off_turkey,241.0,3.4,63.0,0.0,7.0
208111142,Bolonez Soslu Tahıllı Penne,Turkish Branded,off_turkey,131.0,6.7,17.2,3.9,
259237017,Baharat Çeşnili Patates Cipsi,Turkish Branded,off_turkey,517.0,5.6,58.8,29.8,4.7
259792700,Glutensiz Yaban mersini & Mango Granola,Turkish Branded,off_turkey,438.0,10.7,57.3,17.1,5.9
291156801,Tabaklı Piliç Bonfile,Turkish Branded,off_turkey,170.0,19.5,0.0,10.2,0.0
323869778,Moutarde de Dijon - French Mustard - Petits Gourmets,Turkish Branded,off_turkey,158.0,8.0,5.2,11.3,
333622744,Biscuits riches en vitamines,Turkish Branded,off_turkey,468.0,6.6,69.0,18.0,2.2
333622744,Biscuits aux pépites de chocolat riches en vitamines,Turkish Branded,off_turkey,470.0,6.6,69.0,18.0,3.2
355020101,Caramels tendres au sel de Guerande,Turkish Branded,off_turkey,403.0,1.9,76.0,10.0,0.0
365890100,eda rindwurst,Turkish Branded,off_turkey,305.0,12.7,0.4,27.5,2.7
368307709,Harras Pesto Sos Çeşnili Patates Cips,Turkish Branded,off_turkey,501.0,7.1,59.2,32.0,4.5
384007715,Kadaif 500 GR S. V. X 20 Arev,Turkish Branded,off_turkey,283.0,5.7,49.3,6.1,4.0
388023123,fromage blanc de brebis en saumure,Turkish Branded,off_turkey,272.0,14.0,,24.0,
408017740,Capri-Sun Safari Fruits,Turkish Branded,off_turkey,43.0,0.5,10.0,0.5,
408041500,Schogetten Ciocolată cu lapte cu bucățele de biscuiți cu ovăz,Turkish Branded,off_turkey,556.0,5.5,56.0,34.0,0.0
408041504,Schogetten Ciocolată cu lapte,Turkish Branded,off_turkey,556.6,5.4,55.0,35.0,0.0
408807774,Haselnuss,Turkish Branded,off_turkey,16.0,0.0,1.3,0.0,0.0
408840029,kinder pinguin,Turkish Branded,off_turkey,450.0,7.0,37.8,29.7,0.3
408840040,Nutella,Turkish Branded,off_turkey,533.3,6.3,57.5,30.9,
408840040,Nutella Nuss-Nugat-Creme,Turkish Branded,off_turkey,538.0,6.3,57.5,30.9,
409262541,Buğday unu,Turkish Branded,off_turkey,344.0,10.0,72.3,1.0,2.8
409440040,Toffifee 15er,Turkish Branded,off_turkey,521.0,6.0,58.9,29.0,0.0
411657790,"Weiße Bohnen, gekocht",Turkish Branded,off_turkey,92.0,6.2,12.0,0.6,6.9
414080030,Pepsi max rasberry,Turkish Branded,off_turkey,0.5,0.1,0.1,0.0,0.0
414644701,Immun smoothie,Turkish Branded,off_turkey,63.0,0.5,14.0,0.5,
418029002,Caffè Latte,Turkish Branded,off_turkey,72.0,2.8,8.9,2.6,
434006587,Maş fasulye/ Mung beans / Mungbohnen,Turkish Branded,off_turkey,325.0,24.0,46.3,1.2,16.3
434068415,Hiq Whey Protein,Turkish Branded,off_turkey,372.0,80.0,2.7,3.0,0.0
479008522,Mr.Brown vanilka,Turkish Branded,off_turkey,50.0,1.5,9.1,0.8,
508011266,Coca Cola,Turkish Branded,off_turkey,42.0,0.0,35.0,0.0,
508011266,Coca cola 200 ml,Turkish Branded,off_turkey,42.0,0.0,10.6,0.0,
508011266,Fanta,Turkish Branded,off_turkey,30.0,0.0,7.3,0.0,
508011266,Ice Blast,Turkish Branded,off_turkey,17.2,0.0,3.9,0.0,
508011266,Fuse tea mango,Turkish Branded,off_turkey,33.8,0.0,8.2,0.0,
508011266,Zero Sugar,Turkish Branded,off_turkey,0.5,0.0,0.0,0.0,
508011266,Coca Cola Zero Sugar,Turkish Branded,off_turkey,0.2,0.0,0.0,0.0,
508011266,Fanta 1lt,Turkish Branded,off_turkey,30.0,0.0,7.3,0.0,0.0
508011266,fuseTea Şeftali,Turkish Branded,off_turkey,19.9,0.0,4.7,0.0,
508011266,Fuse tea mango 1lt,Turkish Branded,off_turkey,34.0,0.0,8.2,0.0,
508011266,cappy vişne,Turkish Branded,off_turkey,47.4,0.0,11.4,0.0,0.0
508011267,Lemonade,Turkish Branded,off_turkey,55.4,0.0,13.4,0.0,
508015955,2 Snickers,Turkish Branded,off_turkey,490.0,8.7,60.0,23.0,
58099528,Altınbaşak  tahıl cipsi,Turkish Branded,off_turkey,445.0,8.2,60.0,18.0,6.2
58189052,Polo Original 34g,Turkish Branded,off_turkey,402.0,0.0,98.1,1.0,0.0
514101394,Mango Loco Energy Drink,Turkish Branded,off_turkey,34.0,0.0,8.6,0.0,
514101394,Monster ultra,Turkish Branded,off_turkey,0.2,0.0,0.0,0.0,
514101394,Monster the doctor energy drink,Turkish Branded,off_turkey,37.0,0.0,9.5,0.0,0.0
514101394,Monster ultra watermelon flavor energy drink,Turkish Branded,off_turkey,2.0,0.0,1.2,0.0,
514101396,Energy Drink,Turkish Branded,off_turkey,54.0,0.0,13.0,0.0,
536500420,Al-samir Melon Små Frö,Turkish Branded,off_turkey,300.0,10.0,29.0,16.0,19.0
548014127,Carottes râpées,Turkish Branded,off_turkey,32.0,0.5,5.0,0.5,
