fdc_id,name,category,data_type,kcal,protein_g,carb_g,fat_g,fiber_g
9000001,Mercimek corbasi,Corbalar,turkish_food,55,3.5,8.5,1.0,2.0
9000002,Ezogelin corbasi,Corbalar,turkish_food,60,3.2,9.8,1.0,1.8
9000003,Tarhana corbasi,Corbalar,turkish_food,52,2.8,8.0,1.2,0.8
9000004,Domates corbasi,Corbalar,turkish_food,45,1.5,7.0,1.2,0.8
9000005,Yayla corbasi,Corbalar,turkish_food,65,3.5,7.5,2.5,0.2
9000006,Sehriye corbasi,Corbalar,turkish_food,68,2.5,11.0,1.5,0.3
9000007,Iskembe corbasi,Corbalar,turkish_food,78,6.0,4.5,4.0,0.0
9000008,Dugun corbasi,Corbalar,turkish_food,85,5.5,6.0,4.0,0.2
9000009,Paca corbasi,Corbalar,turkish_food,92,7.0,3.0,5.5,0.0
9000010,Sebze corbasi,Corbalar,turkish_food,42,1.8,6.5,1.0,1.5
9000011,Patates corbasi,Corbalar,turkish_food,58,1.5,9.5,1.5,0.8
9000012,Kremalı mantar corbasi,Corbalar,turkish_food,75,2.0,8.0,3.5,0.5
9000013,Bezelye corbasi,Corbalar,turkish_food,72,4.5,10.5,1.5,3.5
9000014,Tutmac corbasi,Corbalar,turkish_food,80,4.5,10.5,2.5,1.5
9000015,Kirmizi mercimek corbasi,Corbalar,turkish_food,58,3.8,9.0,1.0,2.2
9000016,Taze fasulye corbasi,Corbalar,turkish_food,48,2.5,7.5,1.0,2.0
9000017,Ispanak corbasi,Corbalar,turkish_food,55,2.8,6.0,2.5,1.8
9000018,Pirinc pilavi (sade),Pilavlar,turkish_food,130,2.5,26.0,2.0,0.3
9000019,Bulgur pilavi,Pilavlar,turkish_food,120,3.5,22.5,2.0,3.5
9000020,Nohutlu pilav,Pilavlar,turkish_food,140,4.5,25.0,2.5,2.0
9000021,Sehriyeli pilav,Pilavlar,turkish_food,135,3.0,26.5,2.2,0.4
9000022,Domatesli bulgur pilavi,Pilavlar,turkish_food,118,3.0,21.0,2.5,3.0
9000023,Ic pilav (curuklu),Pilavlar,turkish_food,185,4.0,24.0,8.0,1.5
9000024,Tavuklu pilav,Pilavlar,turkish_food,155,8.5,22.0,3.5,0.5
9000025,Pidesiz doner pilav,Pilavlar,turkish_food,180,9.5,22.5,5.5,0.5
9000026,Mercimekli bulgur pilavi,Pilavlar,turkish_food,128,5.5,22.0,2.0,4.5
9000027,Kavurma pilav,Pilavlar,turkish_food,175,10.0,21.0,5.5,0.5
9000028,"Makarna (haslama, sade)",Makarna,turkish_food,155,5.5,30.5,1.0,1.5
9000029,Makarna (kiymali sos),Makarna,turkish_food,175,9.5,22.5,5.5,1.8
9000030,Makarna (domates soslu),Makarna,turkish_food,150,5.0,27.5,2.5,2.0
9000031,Makarna (beyaz soslu),Makarna,turkish_food,190,6.5,24.5,8.0,0.8
9000032,"Manti (pismis, yogurtlu)",Makarna,turkish_food,195,9.0,25.5,6.5,1.0
9000033,"Manti (pismis, sade)",Makarna,turkish_food,155,6.5,25.5,3.0,1.0
9000034,Eriste (ev yapimi),Makarna,turkish_food,165,5.5,30.0,2.5,2.0
9000035,Kofte (izgara),Et Yemekleri,turkish_food,230,18.0,5.0,15.0,0.3
9000036,"Kofte (pismis, ortalama)",Et Yemekleri,turkish_food,220,17.0,6.0,14.0,0.5
9000037,Izmir koftesi,Et Yemekleri,turkish_food,195,14.0,8.5,11.5,1.0
9000038,Et sote,Et Yemekleri,turkish_food,185,16.0,4.0,11.0,1.2
9000039,Kuzu guvec,Et Yemekleri,turkish_food,195,15.0,8.0,11.0,2.0
9000040,Dana kavurma,Et Yemekleri,turkish_food,220,18.0,2.0,15.0,0.5
9000041,Tas kebabi,Et Yemekleri,turkish_food,170,14.0,7.0,9.5,1.5
